{'13069': '0', '13070': '0', '13071': '0', '13072': '0', '13073': '2', '13074': '4', '13075': '4', '13076': '1', '13077': '1', '13078': '0', '13079': '11', '13080': '6', '13081': '13', '13082': '0', '13086': '7', '13345': '20', '13346': '14', '13347': '1', '13348': '9', '13350': '0', '13434': '5', '13435': '5', '13436': '5', '13437': '12', '13438': '0', '13444': '0', '13446': '1', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '0', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '0', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
20200327,0,0,1,1,3,4,22,1,6,0,24,19,22,0,16,39,31,14,34,0,22,17,20,34,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200328,0,0,0,0,0,2,7,1,1,0,9,9,6,0,3,13,4,4,16,0,9,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200329,0,0,0,0,0,1,5,0,1,0,10,2,4,0,3,13,6,2,3,0,3,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200330,0,0,4,0,5,2,14,1,4,0,29,11,30,0,12,43,18,11,11,0,15,15,13,26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200331,0,1,1,0,1,1,9,1,3,0,21,15,14,0,14,39,24,8,28,0,21,15,18,19,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200401,0,0,2,0,3,1,14,3,2,0,33,14,15,0,5,27,20,10,21,0,9,10,7,23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200402,0,0,0,0,1,1,13,3,3,0,28,17,20,0,16,30,31,11,25,0,22,9,10,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200403,0,0,3,0,3,2,10,4,2,0,28,21,23,0,10,45,16,9,18,0,27,20,14,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200404,0,0,0,0,0,1,4,0,0,0,10,10,9,0,3,15,5,2,9,0,3,3,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200405,0,1,0,0,1,1,0,0,1,0,5,6,10,0,2,9,6,0,5,0,4,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200406,0,1,0,1,3,3,16,5,2,0,21,30,19,0,5,26,16,6,21,0,10,12,9,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200407,0,1,5,0,4,1,12,4,4,0,25,17,13,0,15,40,27,4,32,0,28,17,12,27,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200408,0,2,0,0,4,3,18,2,4,0,34,20,19,0,14,59,40,8,27,0,31,21,9,34,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200409,0,1,3,0,8,2,14,1,5,0,23,23,23,0,10,38,28,5,33,0,21,18,8,25,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200410,0,0,0,0,2,4,4,1,1,0,11,6,13,0,7,20,14,1,9,0,5,5,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200411,0,0,1,0,1,1,2,1,1,0,8,7,6,0,5,13,5,8,10,0,5,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200412,0,0,0,0,0,1,2,0,0,0,11,3,3,0,3,15,6,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200413,0,0,1,0,0,1,7,2,1,0,8,2,10,0,3,17,2,2,8,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200414,0,0,0,0,2,2,7,2,3,0,22,13,11,0,9,33,28,5,22,0,13,12,7,18,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200415,0,0,0,0,4,3,11,4,2,0,27,18,21,0,12,44,37,5,21,0,25,30,7,22,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200416,0,1,2,0,5,3,16,5,0,0,31,22,29,0,16,53,39,8,34,0,11,14,14,22,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200417,0,0,1,0,4,1,11,2,3,0,33,16,22,0,16,48,25,3,33,0,13,20,11,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200418,0,0,0,0,0,1,8,0,0,0,26,9,9,0,1,28,19,2,16,0,1,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200419,0,0,0,0,0,1,4,1,1,0,16,5,10,0,4,25,16,3,9,0,6,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200420,0,0,0,0,0,1,17,0,0,0,37,14,21,0,10,43,37,9,14,0,25,15,11,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200421,0,0,0,0,1,3,22,2,1,0,57,23,17,0,12,43,49,9,52,0,24,22,12,20,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200422,0,0,0,0,1,1,21,9,1,0,59,21,25,0,16,66,64,12,37,0,18,21,9,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
